acc,assay_type,organism
SRR8960180,WGS,pig gut metagenome
ERR209875,WGS,human gut metagenome
ERR11473222,WGS,human gut metagenome
SRR21938914,OTHER,metagenome
SRR24962620,WGA,gut metagenome
SRR16329137,WGS,feces metagenome
SRR11845630,WGS,wastewater metagenome
ERR6395249,WGS,Homo sapiens
ERR1135272,WGS,pig gut metagenome
SRR25701179,WGS,feces metagenome
SRR24884097,WGS,human gut metagenome
SRR11183692,WGS,pig gut metagenome
SRR11125795,WGS,pig gut metagenome
ERR11477243,WGS,human gut metagenome
SRR20662468,WGS,pig gut metagenome
ERR7197642,Hi-C,Sus scrofa
SRR10692148,OTHER,human gut metagenome
SRR10692205,OTHER,human gut metagenome
SRR13208902,OTHER,wastewater metagenome
SRR10816079,WGA,human gut metagenome
ERR3004243,WGS,human gut metagenome
SRR7182041,WGS,pig gut metagenome
SRR28555615,WGS,gut metagenome
ERR4283409,WGS,Homo sapiens
SRR30237472,WGS,human gut metagenome
SRR11183984,WGS,pig gut metagenome
ERR11473258,WGS,human gut metagenome
ERR11473397,WGS,human gut metagenome
ERR11472953,WGS,human gut metagenome
SRR10692630,OTHER,human gut metagenome
SRR12875508,WGS,human gut metagenome
SRR11304942,WGS,human gut metagenome
ERR10115175,WGS,human gut metagenome
ERR11566315,WGS,human gut metagenome
SRR6231209,WGS,wastewater metagenome
ERR11478500,WGS,human gut metagenome
SRR21938414,OTHER,metagenome
ERR5729341,OTHER,metagenome
ERR2597471,WGS,gut metagenome
SRR8898533,WGS,human gut metagenome
ERR1539646,WGS,gut metagenome
SRR13061044,WGS,human gut metagenome
SRR17827946,WGS,feces metagenome
SRR17241685,WGS,pig gut metagenome
SRR17241485,WGS,pig gut metagenome
SRR5371409,WGS,bovine gut metagenome
ERR11504509,WGS,human gut metagenome
ERR5883799,WGS,human gut metagenome
ERR414449,WGS,human gut metagenome
SRR11183847,WGS,pig gut metagenome
ERR1136787,WGS,human gut metagenome
ERR11456631,WGS,human gut metagenome
SRR10692303,OTHER,human gut metagenome
ERR1539600,WGS,gut metagenome
SRR17335712,WGS,bovine metagenome
ERR6910991,WGS,Homo sapiens
SRR30834778,WGS,metagenome
ERR11564705,WGS,human gut metagenome
SRR19487613,WGS,human gut metagenome
SRR8960291,WGS,pig gut metagenome
ERR1137201,WGS,human gut metagenome
ERR11478408,WGS,human gut metagenome
ERR4398793,WGS,feces metagenome
SRR11805640,WGS,pig gut metagenome
SRR22402344,WGS,gut metagenome
SRR5678980,WGS,terrestrial metagenome
SRR24987961,WGS,human gut metagenome
SRR6177888,WGS,human gut metagenome
SRR5056846,WGS,human gut metagenome
ERR2020021,WGS,Sus scrofa
ERR11564526,WGS,human gut metagenome
SRR8198116,WGS,pig metagenome
SRR11123012,WGS,pig gut metagenome
SRR11125023,WGS,pig gut metagenome
SRR11183788,WGS,pig gut metagenome
ERR11456972,WGS,human gut metagenome
ERR11472943,WGS,human gut metagenome
ERR11477024,WGS,human gut metagenome
ERR5195766,OTHER,metagenome
ERR2607436,WGS,wastewater metagenome
SRR13060965,WGS,human gut metagenome
SRR11805599,WGS,manure metagenome
SRR25936391,WGS,pig gut metagenome
SRR22574019,WGS,human gut metagenome
ERR4330075,WGS,gut metagenome
SRR11183829,WGS,pig gut metagenome
SRR11126238,WGS,pig gut metagenome
ERR11457999,WGS,human gut metagenome
SRR10692123,OTHER,human gut metagenome
SRR21462972,OTHER,compost metagenome
ERR1539416,WGS,gut metagenome
ERR4290622,WGS,Homo sapiens
SRR30834734,WGS,metagenome
ERR11504456,WGS,human gut metagenome
ERR11570276,WGS,human gut metagenome
SRR30155015,WGS,metagenome
SRR19487792,WGS,human gut metagenome
ERR11474290,WGS,human gut metagenome
ERR11473706,WGS,human gut metagenome
SRR21969401,OTHER,metagenome
SRR21969447,OTHER,metagenome
ERR11080606,OTHER,Homo sapiens
SRR5580037,WGS,human gut metagenome
SRR13712923,WGS,human gut metagenome
SRR18572820,WGA,gut metagenome
ERR11589919,WGS,human gut metagenome
ERR912009,WGS,human gut metagenome
SRR7188232,WGS,feces metagenome
ERR3521985,WGS,human metagenome
SRR28751633,WGS,gut metagenome
SRR20677905,WGS,human gut metagenome
ERR11504705,WGS,human gut metagenome
ERR11570088,WGS,human gut metagenome
ERR11570797,WGS,human gut metagenome
ERR11564180,WGS,human gut metagenome
ERR11564573,WGS,human gut metagenome
SRR21938447,OTHER,metagenome
SRR11124877,WGS,pig gut metagenome
SRR11183779,WGS,pig gut metagenome
ERR11473682,WGS,human gut metagenome
ERR11477564,WGS,human gut metagenome
ERR11457186,WGS,human gut metagenome
SRR18572802,WGA,gut metagenome
ERR10688020,WGS,feces metagenome
SRR22560192,WGS,bovine metagenome
SRR13060947,WGS,human gut metagenome
SRR26820280,WGS,pig gut metagenome
SRR17241494,WGS,pig gut metagenome
SRR22574031,WGS,human gut metagenome
SRR18706824,WGS,metagenome
SRR22078115,WGS,human gut metagenome
SRR24686999,WGS,human gut metagenome
SRR30924197,WGS,wastewater metagenome
ERR11797717,WGS,metagenome
SRR11125433,WGS,pig gut metagenome
ERR6751888,WGS,metagenome
SRR5008261,WGS,pig metagenome
SRR5008237,WGS,pig metagenome
ERR11472917,WGS,human gut metagenome
ERR11458051,WGS,human gut metagenome
ERR10125308,WGS,human gut metagenome
SRR11615199,WGA,metagenome
SRR19859938,WGS,manure metagenome
SRR18391822,WGS,feces metagenome
SRR14263182,WGS,feces metagenome
ERR4341668,WGS,gut metagenome
ERR11564494,WGS,human gut metagenome
SRR11183941,WGS,pig gut metagenome
SRR11183998,WGS,pig gut metagenome
ERR11456593,WGS,human gut metagenome
SRR13517651,WGS,pig gut metagenome
SRR17622766,WGS,human gut metagenome
SRR11649941,WGS,metagenome
SRR8960924,WGS,pig gut metagenome
SRR11125143,WGS,pig gut metagenome
SRR5008239,WGS,pig metagenome
ERR12304159,WGS,human gut metagenome
ERR11457494,WGS,human gut metagenome
ERR11477707,WGS,human gut metagenome
ERR11477479,WGS,human gut metagenome
SRR25459953,WGS,fermentation metagenome
ERR3004221,WGS,human gut metagenome
SRR17319344,WGS,human gut metagenome
SRR17241535,WGS,pig gut metagenome
SRR11551380,WGS,pig gut metagenome
SRR22402317,WGS,gut metagenome
SRR21858636,WGS,gut metagenome
ERR10115282,WGS,human gut metagenome
SRR30235980,WGS,human gut metagenome
ERR11566657,WGS,human gut metagenome
ERR11566567,WGS,human gut metagenome
SRR5678811,WGS,manure metagenome
ERR1137089,WGS,human gut metagenome
ERR1305893,WGS,human gut metagenome
ERR1135341,WGS,pig gut metagenome
SRR12277003,WGS,pig gut metagenome
SRR20627620,WGS,gut metagenome
ERR4334220,WGS,gut metagenome
ERR11569692,WGS,human gut metagenome
SRR8960494,WGS,pig gut metagenome
SRR11124948,WGS,pig gut metagenome
ERR209852,WGS,human gut metagenome
SRR24962625,WGA,gut metagenome
SRR11941566,WGS,human gut metagenome
SRR6060213,WGS,human gut metagenome
SRR2329775,WGS,pig gut metagenome
SRR17241512,WGS,pig gut metagenome
SRR25936400,WGS,pig gut metagenome
SRR7989862,WGS,feces metagenome
ERR3521918,WGS,human metagenome
ERR11566699,WGS,human gut metagenome
ERR11570353,WGS,human gut metagenome
ERR11564347,WGS,human gut metagenome
ERR1135281,WGS,pig gut metagenome
SRR30924216,WGS,wastewater metagenome
SRR10499584,WGS,human gut metagenome
ERR11457239,WGS,human gut metagenome
ERR11477361,WGS,human gut metagenome
ERR11456524,WGS,human gut metagenome
ERR11457390,WGS,human gut metagenome
ERR11473908,WGS,human gut metagenome
SRR16596992,OTHER,gut metagenome
SRR21938453,OTHER,metagenome
SRR16329042,WGS,feces metagenome
SRR16329157,WGS,feces metagenome
SRR16327225,OTHER,gut metagenome
SRR13068843,WGS,human metagenome
SRR13040388,WGS,metagenome
SRR27538928,WGS,human gut metagenome
ERR2241707,WGS,metagenome
SRR8114133,WGS,human gut metagenome
ERR3593667,WGS,gut metagenome
ERR3211983,WGS,pig gut metagenome
ERR3574653,WGS,sediment metagenome
ERR4678635,WGS,wastewater metagenome
SRR13517650,WGS,pig gut metagenome
SRR17241653,WGS,pig gut metagenome
SRR22402271,WGS,gut metagenome
SRR21858578,WGS,gut metagenome
ERR4333894,WGS,gut metagenome
ERR4334080,WGS,gut metagenome
ERR11504739,WGS,human gut metagenome
SRR11124928,WGS,pig gut metagenome
SRR11126303,WGS,pig gut metagenome
ERR11457395,WGS,human gut metagenome
ERR11457987,WGS,human gut metagenome
ERR11477115,WGS,human gut metagenome
ERR3003914,WGS,human gut metagenome
SRR25321194,WGS,human gut metagenome
ERR12731721,WGS,pig gut metagenome
ERR636349,WGS,human gut metagenome
ERR11569657,WGS,human gut metagenome
ERR11564135,WGS,human gut metagenome
ERR11799484,WGS,metagenome
SRR10769891,WGS,wastewater metagenome
SRR25457347,WGS,feces metagenome
SRR28555611,WGS,gut metagenome
SRR21885939,WGS,metagenome
SRR5678931,WGS,terrestrial metagenome
ERR11565377,WGS,human gut metagenome
ERR11570079,WGS,human gut metagenome
ERR11569758,WGS,human gut metagenome
ERR11566166,WGS,human gut metagenome
ERR11569665,WGS,human gut metagenome
SRR11183423,WGS,pig gut metagenome
SRR8960157,WGS,pig gut metagenome
SRR11183952,WGS,pig gut metagenome
ERR7365609,WGS,human gut metagenome
SRR15520965,WGS,metagenome
ERR11477961,WGS,human gut metagenome
ERR1578648,WGS,human gut metagenome
ERR2597339,WGS,gut metagenome
SRR16188876,WGS,metagenome
SRR25477922,WGS,metagenome
SRR18468231,OTHER,human gut metagenome
ERR4334111,WGS,gut metagenome
ERR11569118,WGS,human gut metagenome
SRR22243205,WGA,pig gut metagenome
SRR21938184,OTHER,metagenome
SRR24884258,WGS,human gut metagenome
SRR11124980,WGS,pig gut metagenome
SRR14369146,WGS,pig gut metagenome
ERR11457918,WGS,human gut metagenome
ERR9578330,WGS,Homo sapiens
SRR5679007,WGS,terrestrial metagenome
SRR21290521,WGS,feces metagenome
ERR11570599,WGS,human gut metagenome
ERR6170167,WGS,human gut metagenome
ERR6618650,WGS,human gut metagenome
ERR11569012,WGS,human gut metagenome
ERR912174,WGS,human gut metagenome
ERR11457359,WGS,human gut metagenome
ERR11477323,WGS,human gut metagenome
ERR3003901,WGS,human gut metagenome
SRR13061007,WGS,human gut metagenome
SRR26820212,WGS,pig gut metagenome
SRR30025146,WGS,human gut metagenome
SRR30834804,WGS,metagenome
ERR11570413,WGS,human gut metagenome
ERR11566321,WGS,human gut metagenome
SRR19109045,WGS,gut metagenome
ERR11473056,WGS,human gut metagenome
ERR7745402,WGS,human gut metagenome
SRR23389275,WGS,human gut metagenome
ERR3574340,WGS,sediment metagenome
SRR25240047,OTHER,metagenome
SRR5371469,WGS,bovine gut metagenome
SRR27558754,WGS,human feces metagenome
SRR5866410,WGS,human gut metagenome
SRR14000536,WGS,human gut metagenome
ERR3451021,WGS,human metagenome
SRR25903669,WGS,human gut metagenome
ERR9295487,WGS,human gut metagenome
ERR4398759,WGS,feces metagenome
ERR10750253,WGS,feces metagenome
SRR17241488,WGS,pig gut metagenome
ERR11566266,WGS,human gut metagenome
SRR11124697,WGS,pig gut metagenome
ERR11478580,WGS,human gut metagenome
ERR11457746,WGS,human gut metagenome
ERR11474163,WGS,human gut metagenome
SRR11615172,WGA,metagenome
SRR9218158,WGS,gut metagenome
SRR14493004,WGS,wastewater metagenome
ERR11566303,WGS,human gut metagenome
ERR11569039,WGS,human gut metagenome
ERR11564321,WGS,human gut metagenome
ERR1135465,WGS,pig gut metagenome
ERR2213197,OTHER,pig gut metagenome
SRR18491148,WGS,gut metagenome
SRR17827823,WGS,feces metagenome
SRR17827814,WGS,feces metagenome
SRR26820248,WGS,pig gut metagenome
SRR8114107,WGS,human gut metagenome
SRR30769974,WGS,metagenome
SRR11070335,WGS,human metagenome
ERR4335283,WGS,gut metagenome
ERR6170150,WGS,human gut metagenome
SRR24884132,WGS,human gut metagenome
SRR24884074,WGS,human gut metagenome
SRR11124699,WGS,pig gut metagenome
SRR8960938,WGS,pig gut metagenome
ERR1137344,WGS,human gut metagenome
SRR17065429,WGS,metagenome
ERR11478502,WGS,human gut metagenome
ERR11456716,WGS,human gut metagenome
ERR11473011,WGS,human gut metagenome
SRR16327230,OTHER,gut metagenome
SRR4425719,OTHER,feces metagenome
SRR10692353,OTHER,human gut metagenome
SRR21938996,OTHER,metagenome
SRR13392910,WGS,human gut metagenome
SRR12203240,WGS,pig gut metagenome
ERR1539593,WGS,gut metagenome
SRR6468547,WGS,human gut metagenome
SRR10816020,WGA,human gut metagenome
SRR14263126,WGS,feces metagenome
SRR5056975,WGS,human gut metagenome
ERR2597455,WGS,gut metagenome
ERR3211890,WGS,pig gut metagenome
SRR8114113,WGS,human gut metagenome
SRR11123022,WGS,pig gut metagenome
ERR4682402,WGS,wastewater metagenome
ERR7850100,WGS,wastewater metagenome
ERR4334024,WGS,gut metagenome
ERR11570777,WGS,human gut metagenome
ERR11569130,WGS,human gut metagenome
ERR11564112,WGS,human gut metagenome
SRR10692577,OTHER,human gut metagenome
SRR11124921,WGS,pig gut metagenome
SRR11184095,WGS,pig gut metagenome
ERR11478157,WGS,human gut metagenome
SRR20662478,WGS,pig gut metagenome
ERR1539374,WGS,gut metagenome
ERR1539411,WGS,gut metagenome
SRR17241644,WGS,pig gut metagenome
ERR11564326,WGS,human gut metagenome
SRR7193037,WGS,pig metagenome
SRR8960626,WGS,pig gut metagenome
ERR1136624,WGS,human gut metagenome
ERR11458067,WGS,human gut metagenome
SRR10692819,OTHER,human gut metagenome
ERR5729247,OTHER,metagenome
ERR4097169,WGS,human gut metagenome
SRR26425198,WGS,wastewater metagenome
SRR17335706,WGS,bovine metagenome
SRR31127835,WGS,bovine gut metagenome
SRR12960527,WGS,pig gut metagenome
SRR27538738,WGS,human gut metagenome
SRR7989816,WGS,feces metagenome
DRR576539,WGS,human gut metagenome
SRR14874683,WGS,human gut metagenome
ERR4341691,WGS,gut metagenome
ERR4341683,WGS,gut metagenome
ERR589591,WGS,human gut metagenome
ERR5235205,WGS,metagenome
ERR1135337,WGS,pig gut metagenome
SRR14874744,WGS,human gut metagenome
SRR11124814,WGS,pig gut metagenome
SRR8960807,WGS,pig gut metagenome
ERR11473764,WGS,human gut metagenome
SRR25947391,WGS,human gut metagenome
ERR3562952,WGS,wastewater metagenome
SRR22028005,OTHER,metagenome
ERR2597535,WGS,gut metagenome
ERR3211917,WGS,pig gut metagenome
SRR27108415,WGS,pig gut metagenome
ERR11570154,WGS,human gut metagenome
ERR11563969,WGS,human gut metagenome
SRR28428657,WGS,metagenome
SRR11126111,WGS,pig gut metagenome
SRR11126249,WGS,pig gut metagenome
ERR9187110,WGS,metagenome
ERR11477692,WGS,human gut metagenome
ERR7745559,WGS,human gut metagenome
ERR3574334,WGS,sediment metagenome
SRR16327229,OTHER,gut metagenome
SRR31120115,WGS,gut metagenome
ERR3211921,WGS,pig gut metagenome
ERR4678668,WGS,wastewater metagenome
SRR13712922,WGS,human gut metagenome
ERR11570425,WGS,human gut metagenome
ERR11568962,WGS,human gut metagenome
SRR28282949,WGS,human gut metagenome
SRR11124809,WGS,pig gut metagenome
SRR8960727,WGS,pig gut metagenome
ERR11029222,WGS,human gut metagenome
SRR10499599,WGS,human gut metagenome
ERR11477255,WGS,human gut metagenome
ERR3574668,WGS,sediment metagenome
SRR18468205,OTHER,human gut metagenome
ERR8977376,WGS,wastewater metagenome
SRR16555202,WGS,human gut metagenome
SRR5666659,WGS,pig metagenome
SRR15057922,WGS,pig gut metagenome
DRR221385,WGS,human gut metagenome
SRR14509829,WGS,metagenome
SRR10499598,WGS,human gut metagenome
ERR11560400,WGS,metagenome
ERR12719014,WGS,Homo sapiens
ERR11473945,WGS,human gut metagenome
SRR22077189,OTHER,pig gut metagenome
SRR18654547,WGS,compost metagenome
SRR5580327,WGS,human gut metagenome
SRR7182052,WGS,pig gut metagenome
SRR25030030,WGS,gut metagenome
ERR6395246,WGS,Homo sapiens
SRR24315792,WGS,human gut metagenome
SRR7989894,WGS,feces metagenome
SRR9218151,WGS,gut metagenome
ERR3648605,WGS,gut metagenome
ERR3607299,WGS,gut metagenome
SRR20627590,WGS,gut metagenome
SRR14076393,WGS,metagenome
SRR17319351,WGS,human gut metagenome
SRR14874694,WGS,human gut metagenome
ERR11565051,WGS,human gut metagenome
ERR11565135,WGS,human gut metagenome
SRR30481232,WGS,metagenome
SRR8960791,WGS,pig gut metagenome
SRR11183643,WGS,pig gut metagenome
SRR11125481,WGS,pig gut metagenome
ERR10101711,WGS,human gut metagenome
ERR10101484,WGS,human gut metagenome
ERR11456757,WGS,human gut metagenome
ERR11472976,WGS,human gut metagenome
ERR11474254,WGS,human gut metagenome
ERR11458097,WGS,human gut metagenome
ERR2641697,WGS,human metagenome
SRR5368818,WGS,Sus scrofa domesticus
ERR4678691,WGS,wastewater metagenome
SRR27108360,WGS,pig gut metagenome
SRR5866371,WGS,human gut metagenome
ERR7757514,WGS,wastewater metagenome
SRR22460726,WGS,pig metagenome
DRR221357,WGS,human gut metagenome
ERR11570759,WGS,human gut metagenome
ERR11808166,WGS,metagenome
SRR8960948,WGS,pig gut metagenome
ERR260134,WGS,human metagenome
ERR479254,WGS,Homo sapiens
