rank,name,diff,sourmash,singleM
order,o__Gastranaerophilales,-1.711939419,2.02808956,0.316150141
class,c__Vampirovibrionia,-1.711571589,2.02808956,0.316517971
phylum,p__Cyanobacteriota,-1.710284183,2.02808956,0.317805377
family,f__UBA1242,-2.259897113,2.578937506,0.319040393
species,s__Oscillibacter valericigenes_A,-1.849598298,2.176374897,0.326776599
order,o__TANB77,-3.700847773,4.030161512,0.329313739
genus,g__Oscillibacter,-1.003235671,1.338072707,0.334837036
class,c__Alphaproteobacteria,-1.122987975,1.46265408,0.339666106
order,o__TANB77,-1.076913679,1.426382041,0.349468362
family,f__CAG-272,-1.06906642,1.419090652,0.350024232
species,s__CAG-1000 sp022774645,-1.387908961,1.743343117,0.355434156
species,s__CAG-1000 sp022774645,-1.149438777,1.506638271,0.357199494
class,c__Alphaproteobacteria,-2.09934256,2.466988942,0.367646383
genus,g__Oscillibacter,-1.225625655,1.59699635,0.371370695
class,c__Alphaproteobacteria,-1.598128488,1.975077662,0.376949173
genus,g__CAG-302,-1.268292829,1.64678057,0.378487741
species,s__UBA7862 sp945928645,-1.350254033,1.73282889,0.382574857
genus,g__UBA7862,-1.533353712,1.915928569,0.382574857
family,f__Ruminococcaceae,-1.166685773,1.550578012,0.383892239
family,f__Ruminococcaceae,-1.069529539,1.454605078,0.385075539
genus,g__Oscillibacter,-1.359108796,1.75010175,0.390992954
genus,g__Oscillibacter,-1.154709202,1.548650756,0.393941554
family,f__CAG-508,-1.284814431,1.685611409,0.400796978
superkingdom,d__Archaea,-1.139668659,1.542926389,0.40325773
species,s__CAG-914 sp000437895,-1.050541095,1.462637378,0.412096283
genus,g__CAG-914,-1.050541095,1.462637378,0.412096283
genus,g__Oscillibacter,-1.000394665,1.413747791,0.413353126
genus,g__Oscillibacter,-1.390738878,1.813101617,0.422362739
family,f__CAG-272,-1.131450917,1.556313744,0.424862827
genus,g__CAG-1000,-1.086255745,1.513060236,0.426804491
genus,g__CAG-1000,-1.392414974,1.821712815,0.429297841
family,f__CAG-826,-1.230424331,1.661159389,0.430735059
family,f__CAG-272,-1.089853021,1.52368302,0.433829999
genus,g__CAG-1000,-1.08976566,1.529033105,0.439267445
order,o__Campylobacterales,-1.087257787,1.529586732,0.442328945
class,c__Campylobacteria,-1.087257787,1.529586732,0.442328945
phylum,p__Campylobacterota,-1.087257787,1.529586732,0.442328945
order,o__TANB77,-1.469197973,1.911536289,0.442338316
order,o__TANB77,-1.010856007,1.456885896,0.446029889
genus,g__CAG-1000,-1.37844017,1.825593761,0.447153591
family,f__CAG-508,-1.032227243,1.479380834,0.447153591
family,f__CAG-272,-1.220128719,1.672070874,0.451942154
family,f__Aristaeellaceae,-1.159055654,1.615825107,0.456769453
family,f__CAG-508,-1.38147162,1.838809908,0.457338288
genus,g__CAG-1000,-1.468633013,1.926805893,0.45817288
family,f__CAG-508,-2.14967812,2.608435642,0.458757522
family,f__Gastranaerophilaceae,-1.028653916,1.488569287,0.459915371
order,o__Gastranaerophilales,-1.070816382,1.530731753,0.459915371
class,c__Vampirovibrionia,-1.070816382,1.530731753,0.459915371
genus,g__CAG-1000,-1.148374564,1.608371962,0.459997398
phylum,p__Cyanobacteriota,-1.069780536,1.530731753,0.460951217
genus,g__Oscillibacter,-1.309017262,1.771840848,0.462823587
genus,g__CAG-1000,-1.288522738,1.755555556,0.467032817
family,f__CAG-826,-1.282919169,1.750116234,0.467197065
order,o__RFN20,-1.021386929,1.49184188,0.470454951
family,f__CAG-272,-1.22996405,1.702309566,0.472345517
genus,g__CAG-1000,-1.360159531,1.837204498,0.477044967
family,f__CAG-508,-1.123103805,1.600285288,0.477181483
order,o__TANB77,-1.671072463,2.149526055,0.478453592
order,o__TANB77,-2.182391279,2.662081824,0.479690545
genus,g__CAG-1000,-1.177811568,1.657919607,0.48010804
genus,g__CAG-1000,-1.203111081,1.683934848,0.480823767
family,f__CAG-508,-2.021012192,2.503168568,0.482156376
genus,g__UBA1067,-1.005533403,1.489936595,0.484403193
genus,g__CAG-1000,-1.435137048,1.919870206,0.484733158
family,f__Gastranaerophilaceae,-1.293653547,1.780399722,0.486746176
family,f__UBA660,-2.991493321,3.478497254,0.487003933
order,o__RF39,-2.991493321,3.478497254,0.487003933
order,o__Gastranaerophilales,-1.310997719,1.798044913,0.487047194
class,c__Vampirovibrionia,-1.310997719,1.798044913,0.487047194
phylum,p__Cyanobacteriota,-1.310094665,1.798044913,0.487950248
family,f__CAG-272,-1.230458543,1.722006735,0.491548191
family,f__UBA1242,-1.512367286,2.004232881,0.491865595
genus,g__CAG-238,-1.04386403,1.538295294,0.494431264
genus,g__CAG-1000,-1.243705935,1.738456932,0.494750998
superkingdom,d__Archaea,-1.687741039,2.185033558,0.497292519
family,f__CAG-826,-1.057557026,1.560301485,0.502744459
family,f__Aristaeellaceae,-1.373144917,1.876229804,0.503084886
genus,g__CAG-1000,-1.372505534,1.877281237,0.504775703
genus,g__UBA1067,-1.019002331,1.524263504,0.505261173
species,s__Prevotella sp945869265,-1.427703502,1.933190207,0.505486705
family,f__Acutalibacteraceae,-1.219835492,1.725352462,0.50551697
family,f__CAG-826,-1.365019505,1.873243522,0.508224017
family,f__Aristaeellaceae,-1.135574898,1.651737728,0.51616283
genus,g__Enterosoma,-1.266617802,1.789497815,0.522880014
genus,g__CAG-349,-1.016700817,1.539643153,0.522942336
family,f__Methanomethylophilaceae,-1.558562861,2.083866774,0.525303913
order,o__Methanomassiliicoccales,-1.564471746,2.089775659,0.525303913
class,c__Thermoplasmata,-1.582198401,2.107502314,0.525303913
phylum,p__Thermoplasmatota,-1.588107286,2.113411199,0.525303913
order,o__Christensenellales,-1.329539415,1.858643027,0.529103612
family,f__CAG-826,-1.098162982,1.627295599,0.529132617
family,f__CAG-272,-1.2428979,1.772950561,0.530052661
family,f__Acutalibacteraceae,-1.553873381,2.085435698,0.531562317
genus,g__Oscillibacter,-1.510055608,2.043428598,0.533372989
order,o__TANB77,-2.367577622,2.902193293,0.534615672
genus,g__Enterosoma,-1.042863346,1.577486879,0.534623533
family,f__Acutalibacteraceae,-1.295693056,1.832238191,0.536545135
family,f__CAG-508,-1.236918296,1.779715669,0.542797373
family,f__CAG-508,-1.350776788,1.895013771,0.544236982
family,f__CAG-272,-1.41564187,1.962962963,0.547321093
family,f__CAG-272,-1.276179197,1.823812109,0.547632912
genus,g__Enterosoma,-1.254349735,1.809051164,0.554701428
family,f__CAG-826,-1.632394747,2.188050156,0.55565541
genus,g__CAG-1000,-1.609377902,2.165082557,0.555704656
family,f__CAG-288,-1.260839424,1.818236371,0.557396947
family,f__Aristaeellaceae,-1.546029452,2.104300911,0.558271459
family,f__CAG-826,-1.454675427,2.01324609,0.558570663
species,s__Faecousia sp945927915,-1.437491347,1.996218314,0.558726966
family,f__CAG-272,-1.09362265,1.652484893,0.558862243
species,s__UBA1740 sp945920215,-1.191677712,1.753954029,0.562276317
family,f__Aristaeellaceae,-1.298764087,1.862625392,0.563861305
family,f__CAG-826,-1.337923076,1.903247447,0.565324371
family,f__CAG-272,-1.064872085,1.631118866,0.566246781
genus,g__Enterosoma,-1.110970337,1.678703704,0.567733367
family,f__CAG-508,-1.206487182,1.775834841,0.569347659
genus,g__CAG-1000,-1.596467541,2.166802221,0.570334679
family,f__CAG-508,-1.409403593,1.981152092,0.571748499
genus,g__Enterosoma,-1.051791025,1.623687788,0.571896764
family,f__CAG-508,-1.236848325,1.814762789,0.577914464
phylum,p__Pseudomonadota,-2.22698265,2.805211878,0.578229228
family,f__Anaerovoracaceae,-1.102779351,1.681308834,0.578529483
family,f__Gastranaerophilaceae,-1.020829999,1.60030307,0.579473071
order,o__Gastranaerophilales,-1.020582149,1.60030307,0.579720921
class,c__Vampirovibrionia,-1.020582149,1.60030307,0.579720921
family,f__CAG-288,-1.068644804,1.648492623,0.579847819
phylum,p__Cyanobacteriota,-1.020086449,1.60030307,0.580216621
genus,g__Vescimonas,-1.027183045,1.607649152,0.580466107
family,f__UBA660,-1.153383806,1.734166211,0.580782405
order,o__RF39,-1.153383806,1.734166211,0.580782405
family,f__CAG-288,-1.128404913,1.709253231,0.580848318
family,f__Ruminococcaceae,-1.038726274,1.620304999,0.581578725
genus,g__Enterosoma,-1.040427705,1.622425526,0.581997821
family,f__CAG-272,-1.449175675,2.031559944,0.582384269
genus,g__Enterousia,-1.649471454,2.232218248,0.582746794
family,f__Rs-D84,-1.654302906,2.237591538,0.583288632
family,f__Anaerovoracaceae,-1.713363954,2.297465342,0.584101389
order,o__Rs-D84,-1.653490149,2.237591538,0.584101389
order,o__TANB77,-1.532120202,2.118017018,0.585896817
family,f__CAG-272,-1.196595133,1.783055654,0.586460521
genus,g__Enterosoma,-1.042354662,1.631068991,0.588714329
family,f__Ruminococcaceae,-1.052208708,1.643433196,0.591224488
family,f__CAG-272,-1.218380477,1.81045542,0.592074943
class,c__Alphaproteobacteria,-1.082965832,1.676070648,0.593104816
family,f__CAG-826,-1.541236584,2.13511127,0.593874686
family,f__CAG-272,-1.860198028,2.454319061,0.594121034
family,f__CAG-272,-1.595544662,2.190356315,0.594811653
order,o__RFN20,-1.373132083,1.971555953,0.59842387
family,f__CAG-288,-1.292292484,1.890824161,0.598531677
class,c__Negativicutes,-1.219342305,1.817935151,0.598592846
family,f__CAG-826,-1.569518772,2.169988746,0.600469974
genus,g__CAG-1000,-1.507746502,2.108538372,0.60079187
family,f__Acutalibacteraceae,-1.150504367,1.755443949,0.604939582
species,s__Streptococcus faecavium,-1.140898464,1.747526333,0.606627869
family,f__CAG-272,-1.198289992,1.80580918,0.607519188
family,f__CAG-288,-1.364600224,1.972971552,0.608371328
order,o__TANB77,-1.513342651,2.122178896,0.608836246
family,f__CAG-288,-1.272742264,1.885088946,0.612346682
species,s__Streptococcus faecavium,-1.184080203,1.79690371,0.612823506
superkingdom,d__Archaea,-1.333161131,1.946252497,0.613091367
family,f__Acutalibacteraceae,-1.198852246,1.812062891,0.613210645
family,f__CAG-288,-1.219026376,1.833705713,0.614679338
species,s__Liminaster sp016293065,-1.128445088,1.744788689,0.6163436
species,s__Streptococcus faecavium,-1.211207423,1.829962035,0.618754613
genus,g__Hominicoprocola,-1.009583079,1.628858671,0.619275593
family,f__Acutalibacteraceae,-1.505883134,2.126287671,0.620404536
family,f__CAG-508,-2.267920252,2.888773454,0.620853203
family,f__CAG-272,-1.250976533,1.872315008,0.621338476
family,f__Gastranaerophilaceae,-1.08128701,1.70471778,0.62343077
order,o__Gastranaerophilales,-1.08128701,1.70471778,0.62343077
class,c__Vampirovibrionia,-1.08128701,1.70471778,0.62343077
species,s__Spyradenecus sp004555175,-1.334524886,1.95818045,0.623655564
phylum,p__Cyanobacteriota,-1.12174696,1.745505506,0.623758547
order,o__RFN20,-1.090646119,1.716188771,0.625542652
family,f__Methanobacteriaceae,-1.071261735,1.696834807,0.625573072
order,o__Methanobacteriales,-1.071261735,1.696834807,0.625573072
class,c__Methanobacteria,-1.071261735,1.696834807,0.625573072
phylum,p__Methanobacteriota,-1.101790974,1.727364046,0.625573072
family,f__CAG-272,-1.257867629,1.883906786,0.626039157
family,f__UBA660,-2.813146195,3.442136005,0.628989809
order,o__RF39,-2.813146195,3.442136005,0.628989809
genus,g__Levilactobacillus,-2.591649541,3.221409224,0.629759683
family,f__Acutalibacteraceae,-1.13817753,1.769742152,0.631564621
family,f__CAG-508,-1.663173223,2.297319029,0.634145806
genus,g__Streptococcus,-1.165218155,1.801787424,0.636569269
genus,g__UBA1067,-1.28982612,1.92751764,0.637691519
order,o__TANB77,-1.33963807,1.977556447,0.637918377
family,f__Streptococcaceae,-1.163708505,1.801787424,0.638078919
order,o__TANB77,-1.493911493,2.132407407,0.638495915
family,f__CAG-826,-1.633913477,2.272703371,0.638789894
genus,g__Streptococcus,-1.154970329,1.79690371,0.641933381
family,f__CAG-917,-1.515502146,2.157607931,0.642105785
genus,g__Limivicinus,-1.135918205,1.778972112,0.643053907
family,f__Streptococcaceae,-1.158501338,1.802557313,0.644055976
family,f__CAG-508,-1.546512416,2.190786431,0.644274015
genus,g__Streptococcus,-1.185202902,1.829962035,0.644759133
family,f__Streptococcaceae,-1.185202902,1.829962035,0.644759133
genus,g__CAG-302,-2.065107432,2.709962257,0.644854825
genus,g__Methanocatella,-1.027164653,1.672070874,0.64490622
order,o__TANB77,-1.329377933,1.975408664,0.646030732
order,o__TANB77,-1.523912571,2.170860543,0.646947972
family,f__CAG-826,-1.131017456,1.77932665,0.648309194
family,f__CAG-917,-1.261362092,1.911508112,0.65014602
genus,g__Oscillibacter,-1.157523958,1.808549756,0.651025797
family,f__CAG-288,-1.203086935,1.855112037,0.652025102
family,f__Acutalibacteraceae,-1.199386523,1.85205873,0.652672207
family,f__CAG-272,-1.182563855,1.835435623,0.652871768
genus,g__UBA1740,-1.589832046,2.244391483,0.654559437
order,o__RFN20,-1.649777699,2.30459714,0.654819441
family,f__CAG-272,-1.652640399,2.307612577,0.654972179
order,o__TANB77,-2.448713448,3.103835044,0.655121596
genus,g__Enterosoma,-1.038899602,1.69406487,0.655165268
genus,g__Ornithospirochaeta,-1.022024365,1.678537446,0.656513081
genus,g__CAG-302,-1.84644654,2.503451523,0.657004983
family,f__CAG-826,-1.535127914,2.193091853,0.657963939
class,c__Alphaproteobacteria,-2.343304072,3.001366351,0.658062279
family,f__UBA660,-2.933056537,3.591660654,0.658604117
order,o__RF39,-2.933056537,3.591660654,0.658604117
family,f__Anaerovoracaceae,-1.386510368,2.046943863,0.660433496
family,f__CAG-288,-1.317757143,1.979703563,0.66194642
genus,g__Enterosoma,-1.165116982,1.828861459,0.663744477
family,f__CAG-288,-1.627930167,2.293141416,0.66521125
order,o__RFN20,-1.318256279,1.984563853,0.666307574
genus,g__Limivicinus,-1.725104895,2.392649339,0.667544444
superkingdom,d__Archaea,-1.299158062,1.967472468,0.668314406
order,o__TANB77,-1.485449944,2.157026941,0.671576997
family,f__CAG-288,-1.251005635,1.923661206,0.672655572
family,f__CAG-288,-1.431936413,2.105326657,0.673390244
family,f__CAG-272,-1.336490773,2.009960444,0.673469671
family,f__CAG-272,-1.927321403,2.602022704,0.674701302
family,f__CAG-288,-1.715163672,2.390405294,0.675241622
family,f__UBA660,-1.738619629,2.414078165,0.675458536
order,o__RF39,-1.738619629,2.414078165,0.675458536
family,f__CAG-826,-1.897613008,2.57309779,0.675484782
family,f__CAG-272,-1.455217369,2.131420145,0.676202776
class,c__Negativicutes,-1.232484963,1.913301327,0.680816364
family,f__Anaerovoracaceae,-1.5913604,2.274414039,0.683053639
genus,g__Ornithospirochaeta,-1.118465163,1.803890262,0.685425099
species,s__Ruminiclostridium_E sp945921515,-1.208967896,1.895767269,0.686799373
family,f__CAG-272,-1.380630399,2.068512393,0.687881994
genus,g__Eubacterium_R,-2.663697184,3.351637398,0.687940214
family,f__Acutalibacteraceae,-1.387551792,2.076671577,0.689119785
family,f__Acutalibacteraceae,-1.004279476,1.694153536,0.689874061
family,f__CAG-288,-1.357542817,2.049390421,0.691847603
family,f__Ruminococcaceae,-1.736563845,2.431211362,0.694647517
family,f__CAG-272,-1.557144491,2.251835302,0.694690811
family,f__Aristaeellaceae,-1.050869355,1.75091782,0.700048465
species,s__Prevotella sp945869265,-1.101077239,1.802750297,0.701673058
family,f__CAG-288,-1.047396824,1.750401898,0.703005074
family,f__CAG-288,-1.462505707,2.167740772,0.705235065
family,f__CAG-917,-1.229624427,1.935491282,0.705866855
order,o__TANB77,-1.158933436,1.865242157,0.706308721
family,f__CAG-288,-1.478595065,2.187037037,0.708441972
family,f__CAG-508,-1.681737,2.390396732,0.708659732
family,f__CAG-288,-1.372869132,2.084585735,0.711716603
family,f__CAG-272,-2.073371849,2.785670124,0.712298275
genus,g__Faecousia,-2.510751264,3.223671882,0.712920618
family,f__CAG-917,-1.192805699,1.909600287,0.716794588
family,f__CAG-508,-1.429885012,2.148084926,0.718199914
family,f__CAG-272,-1.922616719,2.642100981,0.719484262
family,f__CAG-288,-1.388800988,2.108938868,0.72013788
family,f__CAG-272,-1.737167577,2.457326012,0.720158435
family,f__CAG-272,-1.350248489,2.0733111,0.723062611
family,f__UBA660,-1.472407741,2.195807258,0.723399517
order,o__RF39,-1.472407741,2.195807258,0.723399517
family,f__CAG-508,-1.886141375,2.615101747,0.728960371
family,f__CAG-508,-1.448569679,2.180393382,0.731823703
family,f__CAG-508,-1.966581752,2.70361441,0.737032658
superkingdom,d__Archaea,-1.683688665,2.423265257,0.739576592
family,f__CAG-917,-1.496207591,2.237037037,0.740829446
order,o__TANB77,-1.58542153,2.330129579,0.74470805
family,f__CAG-917,-1.342262413,2.089890024,0.747627611
genus,g__Oscillibacter,-1.597946022,2.349298921,0.751352899
family,f__CAG-272,-1.781993458,2.535359705,0.753366247
family,f__UBA1067,-1.127581847,1.882125837,0.75454399
order,o__RFP12,-1.126342858,1.882125837,0.755782979
class,c__Kiritimatiellia,-1.126033111,1.882125837,0.756092726
order,o__TANB77,-1.865128243,2.622087061,0.756958818
genus,g__Enterosoma,-1.074170264,1.836663797,0.762493533
order,o__TANB77,-1.677320809,2.440074312,0.762753504
family,f__Anaerovoracaceae,-1.002123274,1.764946788,0.762823514
genus,g__Ruminiclostridium_E,-1.129403283,1.895767269,0.766363986
family,f__CAG-917,-1.783908435,2.553101389,0.769192954
family,f__CAG-917,-1.5698379,2.340799495,0.770961595
family,f__CAG-288,-1.170600056,1.943169102,0.772569046
family,f__CAG-917,-1.078878637,1.853025823,0.774147186
family,f__Aristaeellaceae,-2.251651069,3.027499297,0.775848228
genus,g__Faecousia,-1.450548209,2.228289678,0.777741469
genus,g__Limivicinus,-3.048293456,3.827468802,0.779175346
family,f__Acutalibacteraceae,-1.558088899,2.341188045,0.783099146
family,f__Gastranaerophilaceae,-1.38177176,2.166039175,0.784267415
order,o__Gastranaerophilales,-1.38177176,2.166039175,0.784267415
class,c__Vampirovibrionia,-1.38177176,2.166039175,0.784267415
phylum,p__Cyanobacteriota,-1.38177176,2.166039175,0.784267415
family,f__CAG-826,-1.716689675,2.504253094,0.787563419
family,f__CAG-288,-1.204726695,1.992944638,0.788217942
family,f__CAG-508,-1.566855743,2.3551997,0.788343957
family,f__CAG-288,-1.553126865,2.34188236,0.788755495
family,f__CAG-917,-1.4340481,2.22400125,0.789953149
family,f__CAG-826,-1.794361295,2.586872922,0.792511627
genus,g__PeH17,-1.084146158,1.877098791,0.792952633
family,f__Aristaeellaceae,-1.045606458,1.841575205,0.795968746
genus,g__Faecousia,-1.609570824,2.405587844,0.79601702
family,f__Selenomonadaceae,-1.024148148,1.820599061,0.796450914
order,o__Selenomonadales,-1.024148148,1.820599061,0.796450914
family,f__CAG-917,-1.62081158,2.417629257,0.796817677
family,f__CAG-508,-1.666079967,2.467946214,0.801866246
family,f__CAG-272,-1.686789842,2.489985258,0.803195415
genus,g__Faecousia,-1.77394766,2.577319588,0.803371928
family,f__CAG-917,-1.93726219,2.741344677,0.804082487
species,s__Prevotella pectinovora,-1.097223317,1.901843256,0.804619939
order,o__RFN20,-1.915717872,2.720351867,0.804633995
family,f__CAG-288,-1.447559901,2.253014345,0.805454444
family,f__CAG-826,-1.536998042,2.34346362,0.806465578
species,s__Anaerovibrio sp900548165,-1.024239223,1.830825332,0.806586109
genus,g__Oscillibacter,-1.125651708,1.935089226,0.809437518
family,f__Acutalibacteraceae,-1.406831804,2.216887885,0.810056081
family,f__Gastranaerophilaceae,-1.224874589,2.036017563,0.811142974
order,o__Gastranaerophilales,-1.224874589,2.036017563,0.811142974
class,c__Vampirovibrionia,-1.224874589,2.036017563,0.811142974
phylum,p__Cyanobacteriota,-1.224546854,2.036017563,0.811470709
species,s__Methanocatella sp900769095,-1.176795047,1.988689831,0.811894784
family,f__CAG-508,-1.807792943,2.619761266,0.811968323
order,o__TANB77,-2.049011081,2.86245951,0.813448429
order,o__RFN20,-1.276584942,2.097249156,0.820664214
genus,g__Colicola,-1.300411419,2.121959556,0.821548138
order,o__TANB77,-1.995397185,2.817156301,0.821759116
genus,g__Alloprevotella,-1.229787978,2.05356921,0.823781232
genus,g__Oscillibacter,-1.399958619,2.224450232,0.824491613
family,f__CAG-508,-2.226416076,3.052396812,0.825980735
order,o__Actinomycetales,-1.688791734,2.516220607,0.827428873
order,o__RFN20,-1.099594582,1.92730725,0.827712668
family,f__Gastranaerophilaceae,-1.56369156,2.393518519,0.829826958
order,o__Gastranaerophilales,-1.56369156,2.393518519,0.829826958
class,c__Vampirovibrionia,-1.569247116,2.399074074,0.829826958
phylum,p__Cyanobacteriota,-1.568702788,2.399074074,0.830371286
family,f__CAG-826,-2.082004551,2.913675575,0.831671024
family,f__Gastranaerophilaceae,-1.379847893,2.213163181,0.833315288
order,o__Gastranaerophilales,-1.379847893,2.213163181,0.833315288
class,c__Vampirovibrionia,-1.379847893,2.213163181,0.833315288
phylum,p__Cyanobacteriota,-1.378404297,2.213163181,0.834758884
family,f__Anaerovoracaceae,-1.402196976,2.238124239,0.835927263
family,f__CAG-272,-1.864576532,2.700741442,0.83616491
family,f__CAG-826,-2.750774294,3.59057225,0.839797956
genus,g__Spyradenecus,-2.317297685,3.157959378,0.840661693
genus,g__PeH17,-1.016641733,1.864073626,0.847431893
family,f__Anaerovoracaceae,-1.344167601,2.195091873,0.850924272
family,f__CAG-917,-1.660870199,2.512105588,0.851235389
family,f__Ruminococcaceae,-1.444430212,2.297200556,0.852770344
genus,g__Methanocatella,-1.135149797,1.988689831,0.853540034
genus,g__PeH17,-1.004668686,1.863125732,0.858457046
family,f__CAG-508,-1.94830552,2.807956505,0.859650985
genus,g__Physcousia,-1.006783815,1.867742439,0.860958624
genus,g__Alloprevotella,-1.219239516,2.080310064,0.861070547
family,f__CAG-826,-1.199966419,2.06156453,0.861598111
family,f__CAG-826,-1.86429354,2.727288801,0.862995261
phylum,p__Pseudomonadota,-1.133776547,2.002113534,0.868336986
family,f__CAG-272,-1.268036108,2.137141964,0.869105856
family,f__Selenomonadaceae,-1.020190566,1.889581832,0.869391266
order,o__Selenomonadales,-1.020190566,1.889581832,0.869391266
family,f__CAG-508,-2.350061622,3.221595468,0.871533846
genus,g__Vescimonas,-1.197977501,2.070359445,0.872381944
phylum,p__Verrucomicrobiota,-1.352179117,2.22597575,0.873796632
family,f__Methanobacteriaceae,-1.136023801,2.010198869,0.874175068
order,o__Methanobacteriales,-1.15842905,2.032604117,0.874175068
class,c__Methanobacteria,-1.15842905,2.032604117,0.874175068
phylum,p__Methanobacteriota,-1.201447126,2.075622194,0.874175068
species,s__Colinaster sp018056665,-1.072154797,1.946603478,0.874448681
genus,g__Alloprevotella,-1.41531305,2.292330666,0.877017616
family,f__CAG-272,-1.878501751,2.757728083,0.879226332
order,o__Peptostreptococcales,-1.708174755,2.588390623,0.880215868
family,f__Anaerovoracaceae,-1.331780539,2.212341173,0.880560634
genus,g__Anaerovibrio,-1.059078232,1.943345557,0.884267326
genus,g__Alloprevotella,-1.401382048,2.286374684,0.884992637
family,f__UBA660,-4.827884227,5.713014148,0.885129921
order,o__RF39,-4.827884227,5.713014148,0.885129921
order,o__RFN20,-1.428623175,2.315739726,0.887116551
family,f__CAG-508,-2.176819175,3.065751676,0.888932501
family,f__Gastranaerophilaceae,-1.279815664,2.17218074,0.892365076
